,store,Category,topic_75,cleaned_property,count
0,CAFE216,디저트,쿠키,달,1
1,CAFE216,매장,매장,깔끔,1
2,CAFE216,매장,매장,분위기,1
3,CAFE216,서비스,직원,세심,1
4,CAFE216,서비스,직원,친절,1
5,NOHJ,매장,매장,넓,2
6,NOHJ,매장,매장,쾌적하,1
7,NOHJ,매장,테이블,넓,1
8,NOHJ,분위기,인테리어,예쁘,2
9,NOHJ,서비스,사장님,친절,1
10,NOHJ,음료,생강차,진하,1
11,NOHJ,커피,커피,많,1
12,가비수,서비스,사장님,친절,1
13,가빈,기타,가격,싸,1
14,가빈,디저트,음식,양,1
15,가빈,매장,매장,활기차,1
16,가빈,서비스,사장님,친절,1
17,가빈,서비스,직원,친절,1
18,가빈,음료,레몬티,진하,1
19,가빈,커피,단호박라떼,저렴,1
20,갈팡즙팡과일디저트카페 신림점,음료,화채,양,1
21,감성커피 신림점,매장,공간,편하,1
22,감성커피 신림점,매장,매장,청결,1
23,감성커피 신림점,서비스,직원,친절,4
24,감성커피 신림점,서비스,사장님,친절,2
25,감성커피 신림점,서비스,여자 사장님,친절,1
26,감성커피 신림점,음료,음료,양,2
27,감성커피 신림점,음료,음료,품질,1
28,감성커피 신림점,커피,커피,양,1
29,구동커피,디저트,샌드위치,훌륭하,1
30,구동커피,디저트,크로와상 샌드위치,퀄리티,1
31,구동커피,디저트,크로와상샌드위치,든든,1
32,구동커피,매장,매장,깔끔,1
33,구동커피,서비스,사장님,친절,1
34,구동커피,서비스,직원,친절,1
35,구동커피,커피,아메리카노,가성비,1
36,궁전다방,매장,화장실,깨끗,4
37,궁전다방,매장,공간,아늑,2
38,궁전다방,매장,공간,마음들,1
39,궁전다방,분위기,인테리어,예쁘,2
40,궁전다방,분위기,분위기,조용,1
41,궁전다방,분위기,소품,느낌,1
42,궁전다방,서비스,사장님,친절,3
43,궁전다방,서비스,사장님,디테일,1
44,궁전다방,서비스,서비스,,1
45,궁전다방,음료,음료,양,1
46,궁전다방,음료,음료,저렴,1
47,궁전다방,음료,티,티폿제공,1
48,궁전다방,커피,커피,밸런스,1
49,궁전다방,커피,커피,진하,1
50,그릿커피랩 신림점,매장,매장,아늑,1
51,그릿커피랩 신림점,서비스,사장님,친절,3
52,그릿커피랩 신림점,서비스,사장님,성실,1
53,그릿커피랩 신림점,서비스,서비스,세심,1
54,나티,디저트,두바이 초콜릿,고급,1
55,나티,디저트,두바이 초콜릿,바삭,1
56,난곡다방,디저트,샌드위치,중독성,1
57,난곡다방,분위기,분위기,복고,1
58,난곡다방,서비스,서비스,친절,1
59,난곡다방,커피,원두,산미,1
60,달콩커피 신림점,매장,매장,깔끔,1
61,달콩커피 신림점,매장,매장,아늑,1
62,달콩커피 신림점,매장,매장,조용,1
63,달콩커피 신림점,서비스,사장님,친절,1
64,달콩커피 신림점,커피,미숫가루라떼,좋아하,1
65,더리터 신림점,기타,가격,가성비,1
66,더리터 신림점,디저트,음식,저렴,1
67,더리터 신림점,매장,매장,깨끗,1
68,더리터 신림점,서비스,직원,친절,1
69,더리터 신림점,커피,커피,가성비,1
70,더리터 신림중앙점,디저트,복숭아숭숭,넉넉,1
71,더리터 신림중앙점,매장,매장,깔끔,2
72,더리터 신림중앙점,매장,매장,새롭,1
73,더리터 신림중앙점,매장,매장,조명,1
74,더리터 신림중앙점,서비스,남자 사장님,반영,1
75,더리터 신림중앙점,서비스,남자 직원,친절,1
76,더리터 신림중앙점,서비스,사장님,멋있,1
77,더리터 신림중앙점,커피,커피,넓,1
78,더벤티 신림녹두거리점,서비스,직원,친절,2
79,더벤티 신림녹두거리점,커피,커피,싸,1
80,더벤티 신림녹두거리점,커피,커피,양,1
81,더벤티 신림녹두거리점,커피,커피,진하,1
82,더빈마켓 신림점,디저트,고구마피자빵,묵직,1
